secid,date,ticker,low,high,open,close,volume
108105,20210104,SPX,3662.71,3769.99,3764.61,3700.65,0
108105,20210105,SPX,3695.07,3737.83,3698.02,3726.86,0
108105,20210106,SPX,3705.34,3783.04,3712.2,3748.14,0
108105,20210107,SPX,3764.71,3811.55,3764.71,3803.79,0
108105,20210108,SPX,3783.6,3826.69,3815.05,3824.68,0
108105,20210111,SPX,3789.02,3817.86,3803.14,3799.61,0
108105,20210112,SPX,3776.51,3810.78,3801.62,3801.19,0
108105,20210113,SPX,3791.5,3820.96,3802.23,3809.84,0
108105,20210114,SPX,3792.86,3823.6,3814.98,3795.54,0
108105,20210115,SPX,3749.62,3788.73,3788.73,3768.25,0
108105,20210119,SPX,3780.37,3804.53,3781.88,3798.91,0
108105,20210120,SPX,3816.22,3859.75,3816.22,3851.85,0
108105,20210121,SPX,3845.05,3861.45,3857.46,3853.07,0
108105,20210122,SPX,3830.41,3852.31,3844.24,3841.47,0
108105,20210125,SPX,3797.16,3859.23,3851.68,3855.36,0
108105,20210126,SPX,3847.78,3870.9,3862.96,3849.62,0
108105,20210127,SPX,3732.48,3836.83,3836.83,3750.77,0
108105,20210128,SPX,3755.75,3830.5,3755.75,3787.38,0
108105,20210129,SPX,3694.12,3778.05,3778.05,3714.24,0
108105,20210201,SPX,3725.62,3784.32,3731.17,3773.86,0
108105,20210202,SPX,3791.84,3843.09,3791.84,3826.31,0
108105,20210203,SPX,3816.68,3847.51,3840.27,3830.17,0
108105,20210204,SPX,3836.66,3872.42,3836.66,3871.74,0
108105,20210205,SPX,3874.93,3894.56,3878.3,3886.83,0
108105,20210208,SPX,3892.59,3915.77,3892.59,3915.59,0
108105,20210209,SPX,3902.64,3918.35,3910.49,3911.23,0
108105,20210210,SPX,3884.94,3931.5,3920.78,3909.88,0
108105,20210211,SPX,3890.39,3925.99,3916.4,3916.38,0
108105,20210212,SPX,3905.78,3937.23,3911.65,3934.83,0
108105,20210216,SPX,3923.85,3950.43,3939.61,3932.59,0
108105,20210217,SPX,3900.43,3933.61,3918.5,3931.33,0
108105,20210218,SPX,3885.03,3921.98,3915.86,3913.97,0
108105,20210219,SPX,3903.07,3930.41,3921.16,3906.71,0
108105,20210222,SPX,3874.71,3902.92,3885.55,3876.5,0
108105,20210223,SPX,3805.59,3895.98,3857.07,3881.37,0
108105,20210224,SPX,3859.6,3928.65,3873.71,3925.43,0
108105,20210225,SPX,3814.04,3925.02,3915.8,3829.34,0
108105,20210226,SPX,3789.54,3861.08,3839.66,3811.15,0
108105,20210301,SPX,3842.51,3914.5,3842.51,3901.82,0
108105,20210302,SPX,3868.57,3906.41,3903.64,3870.29,0
108105,20210303,SPX,3818.86,3874.47,3863.99,3819.72,0
108105,20210304,SPX,3723.34,3843.67,3818.53,3768.47,0
108105,20210305,SPX,3730.19,3851.69,3793.58,3841.94,0
108105,20210308,SPX,3819.25,3881.06,3844.39,3821.35,0
108105,20210309,SPX,3851.93,3903.76,3851.93,3875.44,0
108105,20210310,SPX,3885.73,3917.35,3891.99,3898.81,0
108105,20210311,SPX,3915.54,3960.27,3915.54,3939.34,0
108105,20210312,SPX,3915.21,3944.99,3924.52,3943.34,0
108105,20210315,SPX,3923.54,3970.08,3942.96,3968.94,0
108105,20210316,SPX,3953.44,3981.04,3973.59,3962.71,0
108105,20210317,SPX,3935.74,3983.87,3949.57,3974.12,0
108105,20210318,SPX,3910.86,3969.62,3953.5,3915.46,0
108105,20210319,SPX,3886.75,3930.12,3913.14,3913.1,0
108105,20210322,SPX,3914.16,3955.31,3916.48,3940.59,0
108105,20210323,SPX,3901.57,3949.13,3937.6,3910.52,0
108105,20210324,SPX,3889.07,3942.08,3919.93,3889.14,0
108105,20210325,SPX,3853.5,3919.54,3879.34,3909.52,0
108105,20210326,SPX,3917.12,3978.19,3917.12,3974.54,0
108105,20210329,SPX,3943.25,3981.83,3969.31,3971.09,0
108105,20210330,SPX,3944.35,3968.01,3963.34,3958.55,0
108105,20210331,SPX,3966.98,3994.41,3967.25,3972.89,0
108105,20210401,SPX,3992.78,4020.63,3992.78,4019.87,0
108105,20210405,SPX,4034.44,4083.42,4034.44,4077.91,0
108105,20210406,SPX,4068.14,4086.23,4075.57,4073.94,0
108105,20210407,SPX,4068.31,4083.13,4074.29,4079.95,0
108105,20210408,SPX,4082.54,4098.19,4089.95,4097.17,0
108105,20210409,SPX,4095.51,4129.48,4096.11,4128.8,0
108105,20210412,SPX,4114.82,4131.76,4124.71,4127.99,0
108105,20210413,SPX,4124.43,4148,4130.1,4141.59,0
108105,20210414,SPX,4120.87,4151.69,4141.58,4124.66,0
108105,20210415,SPX,4139.76,4173.49,4139.76,4170.42,0
108105,20210416,SPX,4170.75,4191.31,4174.14,4185.47,0
108105,20210419,SPX,4150.47,4180.81,4179.8,4163.26,0
108105,20210420,SPX,4118.38,4159.18,4159.18,4134.94,0
108105,20210421,SPX,4126.35,4175.02,4128.42,4173.42,0
108105,20210422,SPX,4123.69,4179.57,4170.46,4134.98,0
108105,20210423,SPX,4138.78,4194.17,4138.78,4180.17,0
108105,20210426,SPX,4182.36,4194.19,4185.03,4187.62,0
108105,20210427,SPX,4176.22,4193.35,4188.25,4186.72,0
108105,20210428,SPX,4181.78,4201.53,4185.14,4183.18,0
108105,20210429,SPX,4176.81,4218.78,4206.14,4211.47,0
108105,20210430,SPX,4174.85,4198.1,4198.1,4181.17,0
108105,20210503,SPX,4188.03,4209.39,4191.98,4192.66,0
108105,20210504,SPX,4128.59,4179.04,4179.04,4164.66,0
108105,20210505,SPX,4160.94,4187.72,4177.06,4167.59,0
108105,20210506,SPX,4147.33,4202.7,4169.14,4201.62,0
108105,20210507,SPX,4201.64,4238.04,4210.34,4232.6,0
108105,20210510,SPX,4188.13,4236.39,4228.29,4188.43,0
108105,20210511,SPX,4111.53,4162.04,4150.34,4152.1,0
108105,20210512,SPX,4056.88,4134.73,4130.55,4063.04,0
108105,20210513,SPX,4074.99,4131.58,4074.99,4112.5,0
108105,20210514,SPX,4129.58,4183.13,4129.58,4173.85,0
108105,20210517,SPX,4142.69,4171.92,4169.92,4163.29,0
108105,20210518,SPX,4125.99,4169.15,4165.94,4127.83,0
108105,20210519,SPX,4061.41,4116.93,4098.45,4115.68,0
108105,20210520,SPX,4121.97,4172.8,4121.97,4159.12,0
108105,20210521,SPX,4151.72,4188.72,4168.61,4155.86,0
108105,20210524,SPX,4170.16,4209.52,4170.16,4197.05,0
108105,20210525,SPX,4182.52,4213.42,4205.94,4188.13,0
108105,20210526,SPX,4184.11,4202.61,4191.59,4195.99,0
108105,20210527,SPX,4197.78,4213.38,4201.94,4200.88,0
108105,20210528,SPX,4203.57,4218.36,4210.77,4204.11,0
108105,20210601,SPX,4197.59,4234.12,4216.52,4202.04,0
108105,20210602,SPX,4198.27,4217.37,4206.82,4208.12,0
108105,20210603,SPX,4167.93,4204.39,4191.43,4192.85,0
108105,20210604,SPX,4206.05,4233.45,4206.05,4229.89,0
108105,20210607,SPX,4215.66,4232.34,4229.34,4226.52,0
108105,20210608,SPX,4208.41,4236.74,4233.81,4227.26,0
108105,20210609,SPX,4218.74,4237.09,4232.99,4219.55,0
108105,20210610,SPX,4220.34,4249.74,4228.56,4239.18,0
108105,20210611,SPX,4232.25,4248.38,4242.9,4247.44,0
108105,20210614,SPX,4234.07,4255.59,4248.31,4255.15,0
108105,20210615,SPX,4238.35,4257.16,4255.28,4246.59,0
108105,20210616,SPX,4202.45,4251.89,4248.87,4223.7,0
108105,20210617,SPX,4196.05,4232.29,4220.37,4221.86,0
108105,20210618,SPX,4164.4,4204.78,4204.78,4166.45,0
108105,20210621,SPX,4173.4,4226.24,4173.4,4224.79,0
108105,20210622,SPX,4217.27,4255.84,4224.61,4246.44,0
108105,20210623,SPX,4241.43,4256.6,4249.27,4241.84,0
108105,20210624,SPX,4256.97,4271.28,4256.97,4266.49,0
108105,20210625,SPX,4271.16,4286.12,4274.45,4280.7,0
108105,20210628,SPX,4274.67,4292.14,4284.9,4290.61,0
108105,20210629,SPX,4287.04,4300.52,4293.21,4291.8,0
108105,20210630,SPX,4287.96,4302.43,4290.65,4297.5,0
108105,20210701,SPX,4300.73,4320.66,4300.73,4319.94,0
108105,20210702,SPX,4326.6,4355.43,4326.6,4352.34,0
108105,20210706,SPX,4314.37,4356.46,4356.46,4343.54,0
108105,20210707,SPX,4329.79,4361.88,4351.01,4358.13,0
108105,20210708,SPX,4289.37,4330.88,4321.07,4320.82,0
108105,20210709,SPX,4329.38,4371.6,4329.38,4369.55,0
108105,20210712,SPX,4364.03,4386.68,4372.41,4384.63,0
108105,20210713,SPX,4366.92,4392.37,4381.07,4369.21,0
108105,20210714,SPX,4362.36,4393.68,4380.11,4374.3,0
108105,20210715,SPX,4340.7,4369.02,4369.02,4360.03,0
108105,20210716,SPX,4322.53,4375.09,4367.43,4327.16,0
108105,20210719,SPX,4233.13,4296.4,4296.4,4258.49,0
108105,20210720,SPX,4262.05,4336.84,4265.11,4323.06,0
108105,20210721,SPX,4331.13,4359.7,4331.13,4358.69,0
108105,20210722,SPX,4350.06,4369.87,4361.27,4367.48,0
108105,20210723,SPX,4381.2,4415.18,4381.2,4411.79,0
108105,20210726,SPX,4405.45,4422.73,4409.58,4422.3,0
108105,20210727,SPX,4372.51,4416.38,4416.38,4401.46,0
108105,20210728,SPX,4387.01,4415.47,4402.95,4400.64,0
108105,20210729,SPX,4403.59,4429.97,4403.59,4419.15,0
108105,20210730,SPX,4389.65,4412.25,4395.12,4395.26,0
108105,20210802,SPX,4384.81,4422.18,4406.86,4387.16,0
108105,20210803,SPX,4373,4423.79,4392.74,4423.15,0
108105,20210804,SPX,4400.23,4416.17,4415.95,4402.66,0
108105,20210805,SPX,4408.86,4429.76,4408.86,4429.1,0
108105,20210806,SPX,4429.07,4440.82,4429.07,4436.52,0
108105,20210809,SPX,4424.74,4439.39,4437.77,4432.35,0
108105,20210810,SPX,4430.03,4445.21,4435.79,4436.75,0
108105,20210811,SPX,4436.42,4449.44,4442.18,4447.7,0
108105,20210812,SPX,4435.96,4461.77,4446.08,4460.83,0
108105,20210813,SPX,4460.82,4468.37,4464.84,4468,0
108105,20210816,SPX,4437.66,4480.26,4461.65,4479.71,0
108105,20210817,SPX,4417.83,4462.12,4462.12,4448.08,0
108105,20210818,SPX,4397.59,4454.32,4440.94,4400.27,0
108105,20210819,SPX,4367.73,4418.61,4382.44,4405.8,0
108105,20210820,SPX,4406.8,4444.35,4410.56,4441.67,0
108105,20210823,SPX,4450.29,4489.88,4450.29,4479.53,0
108105,20210824,SPX,4482.28,4492.81,4484.4,4486.23,0
108105,20210825,SPX,4485.66,4501.71,4490.45,4496.19,0
108105,20210826,SPX,4468.99,4495.9,4493.75,4470,0
108105,20210827,SPX,4474.1,4513.33,4474.1,4509.37,0
108105,20210830,SPX,4513.76,4537.36,4513.76,4528.79,0
108105,20210831,SPX,4515.8,4531.39,4529.75,4522.68,0
108105,20210901,SPX,4522.02,4537.11,4528.8,4524.09,0
108105,20210902,SPX,4524.66,4545.85,4534.48,4536.95,0
108105,20210903,SPX,4521.3,4541.45,4532.42,4535.43,0
108105,20210907,SPX,4513,4535.38,4535.38,4520.03,0
108105,20210908,SPX,4493.95,4521.79,4518.09,4514.07,0
108105,20210909,SPX,4492.07,4529.9,4513.02,4493.28,0
108105,20210910,SPX,4457.66,4520.47,4506.92,4458.58,0
108105,20210913,SPX,4445.7,4492.99,4474.81,4468.73,0
108105,20210914,SPX,4435.46,4485.68,4479.33,4443.05,0
108105,20210915,SPX,4438.37,4486.87,4447.49,4480.7,0
108105,20210916,SPX,4443.8,4485.87,4477.09,4473.75,0
108105,20210917,SPX,4427.76,4471.52,4469.74,4432.99,0
108105,20210920,SPX,4305.91,4402.95,4402.95,4357.73,0
108105,20210921,SPX,4347.96,4394.87,4374.45,4354.19,0
108105,20210922,SPX,4367.43,4416.75,4367.43,4395.64,0
108105,20210923,SPX,4406.75,4465.4,4406.75,4448.98,0
108105,20210924,SPX,4430.27,4463.12,4438.04,4455.48,0
108105,20210927,SPX,4436.19,4457.3,4442.12,4443.11,0
108105,20210928,SPX,4346.33,4419.54,4419.54,4352.63,0
108105,20210929,SPX,4355.08,4385.57,4362.41,4359.46,0
108105,20210930,SPX,4306.24,4382.55,4370.67,4307.54,0
108105,20211001,SPX,4288.52,4375.19,4317.16,4357.04,0
108105,20211004,SPX,4278.94,4355.51,4348.84,4300.46,0
108105,20211005,SPX,4309.87,4369.23,4309.87,4345.72,0
108105,20211006,SPX,4290.49,4365.57,4319.57,4363.55,0
108105,20211007,SPX,4383.73,4429.97,4383.73,4399.76,0
108105,20211008,SPX,4386.22,4412.02,4406.51,4391.34,0
108105,20211011,SPX,4360.59,4415.88,4385.44,4361.19,0
108105,20211012,SPX,4342.09,4374.89,4368.31,4350.65,0
108105,20211013,SPX,4329.92,4372.87,4358.01,4363.8,0
108105,20211014,SPX,4386.75,4439.73,4386.75,4438.26,0
108105,20211015,SPX,4447.69,4475.82,4447.69,4471.37,0
108105,20211018,SPX,4447.47,4488.75,4463.72,4486.46,0
108105,20211019,SPX,4496.41,4520.4,4497.34,4519.63,0
108105,20211020,SPX,4524.4,4540.87,4524.42,4536.19,0
108105,20211021,SPX,4526.89,4551.44,4532.24,4549.78,0
108105,20211022,SPX,4524,4559.67,4546.12,4544.9,0
108105,20211025,SPX,4537.36,4572.62,4553.69,4566.48,0
108105,20211026,SPX,4569.17,4598.53,4578.69,4574.79,0
108105,20211027,SPX,4551.66,4584.57,4580.22,4551.68,0
108105,20211028,SPX,4562.84,4597.55,4562.84,4596.42,0
108105,20211029,SPX,4567.59,4608.08,4572.87,4605.38,0
108105,20211101,SPX,4595.06,4620.34,4610.62,4613.67,0
108105,20211102,SPX,4613.34,4635.15,4613.34,4630.65,0
108105,20211103,SPX,4621.19,4663.46,4630.65,4660.57,0
108105,20211104,SPX,4662.59,4683,4662.93,4680.06,0
108105,20211105,SPX,4681.32,4718.5,4699.26,4697.53,0
108105,20211108,SPX,4694.39,4714.92,4701.48,4701.7,0
108105,20211109,SPX,4670.87,4708.53,4707.25,4685.25,0
108105,20211110,SPX,4630.86,4684.85,4670.26,4646.71,0
108105,20211111,SPX,4648.31,4664.55,4659.39,4649.27,0
108105,20211112,SPX,4650.77,4688.47,4655.24,4682.85,0
108105,20211115,SPX,4672.86,4697.42,4689.3,4682.8,0
108105,20211116,SPX,4679.42,4714.95,4679.42,4700.9,0
108105,20211117,SPX,4684.41,4701.5,4701.5,4688.67,0
108105,20211118,SPX,4672.78,4708.8,4700.72,4704.54,0
108105,20211119,SPX,4694.22,4717.75,4708.44,4697.96,0
108105,20211122,SPX,4682.17,4743.83,4712,4682.94,0
108105,20211123,SPX,4652.66,4699.39,4678.48,4690.7,0
108105,20211124,SPX,4659.89,4702.87,4675.78,4701.46,0
108105,20211126,SPX,4585.43,4664.63,4664.63,4594.62,0
108105,20211129,SPX,4625.26,4672.95,4628.75,4655.27,0
108105,20211130,SPX,4560,4646.02,4640.25,4567,0
108105,20211201,SPX,4510.27,4652.94,4602.82,4513.04,0
108105,20211202,SPX,4504.73,4595.46,4504.73,4577.1,0
108105,20211203,SPX,4495.12,4608.03,4589.49,4538.43,0
108105,20211206,SPX,4540.51,4612.6,4548.37,4591.67,0
108105,20211207,SPX,4631.97,4694.04,4631.97,4686.75,0
108105,20211208,SPX,4674.52,4705.06,4690.86,4701.21,0
108105,20211209,SPX,4665.98,4695.26,4691,4667.45,0
108105,20211210,SPX,4670.24,4713.57,4687.64,4712.02,0
108105,20211213,SPX,4667.6,4710.3,4710.3,4668.97,0
108105,20211214,SPX,4606.52,4660.47,4642.99,4634.09,0
108105,20211215,SPX,4611.22,4712.6,4636.46,4709.85,0
108105,20211216,SPX,4651.89,4731.99,4719.13,4668.67,0
108105,20211217,SPX,4600.22,4666.7,4652.5,4620.64,0
108105,20211220,SPX,4531.1,4587.9,4587.9,4568.02,0
108105,20211221,SPX,4583.16,4651.14,4594.96,4649.23,0
108105,20211222,SPX,4645.53,4697.67,4650.36,4696.56,0
108105,20211223,SPX,4703.96,4740.74,4703.96,4725.79,0
108105,20211227,SPX,4733.99,4791.49,4733.99,4791.19,0
108105,20211228,SPX,4780.04,4807.02,4795.49,4786.35,0
108105,20211229,SPX,4778.08,4804.06,4788.64,4793.06,0
108105,20211230,SPX,4775.33,4808.93,4794.23,4778.73,0
108105,20211231,SPX,4765.75,4786.83,4775.21,4766.18,0
